Age,Workclass,Education,Marital_Status,Occupation,Relationship,Hours_Per_Week,Sex,Race,Place_Of_Birth,interview_score,cv_assessment_score,prior_hiring_decision
41.0,1.0,18.0,1.0,440.0,0.0,55.0,1.0,6.0,6.0,4.32,6.52,0
34.0,3.0,22.0,1.0,2310.0,0.0,40.0,2.0,1.0,6.0,5.87,5.05,1
45.0,1.0,22.0,1.0,800.0,0.0,40.0,1.0,1.0,53.0,8.51,5.42,1
53.0,2.0,21.0,3.0,8610.0,13.0,40.0,1.0,6.0,247.0,5.53,5.28,1
37.0,1.0,16.0,5.0,9620.0,2.0,17.0,1.0,1.0,6.0,7.41,4.71,1
50.0,6.0,22.0,3.0,1010.0,0.0,40.0,1.0,6.0,233.0,7.26,8.3,1
51.0,7.0,21.0,5.0,710.0,0.0,40.0,1.0,1.0,6.0,4.34,6.64,0
57.0,1.0,23.0,1.0,710.0,0.0,30.0,1.0,1.0,17.0,7.98,5.86,1
23.0,4.0,19.0,1.0,3870.0,0.0,40.0,1.0,8.0,6.0,6.27,6.86,0
53.0,1.0,21.0,1.0,4700.0,1.0,52.0,2.0,1.0,41.0,7.06,9.25,1
18.0,2.0,16.0,5.0,4120.0,2.0,2.0,2.0,1.0,6.0,5.33,5.47,1
57.0,1.0,14.0,3.0,410.0,0.0,55.0,2.0,1.0,6.0,4.44,4.85,1
38.0,6.0,21.0,4.0,2905.0,0.0,18.0,1.0,1.0,39.0,6.34,5.66,0
57.0,1.0,19.0,1.0,6250.0,1.0,45.0,1.0,1.0,6.0,6.38,4.23,0
25.0,1.0,16.0,1.0,5120.0,1.0,40.0,2.0,1.0,301.0,5.86,3.65,0
42.0,1.0,1.0,1.0,4230.0,1.0,40.0,2.0,8.0,6.0,3.77,1.83,0
81.0,3.0,22.0,1.0,2320.0,0.0,15.0,1.0,1.0,36.0,4.81,6.45,0
21.0,2.0,19.0,5.0,5310.0,17.0,10.0,1.0,2.0,11.0,5.51,5.5,0
89.0,1.0,16.0,1.0,6050.0,1.0,40.0,1.0,1.0,48.0,8.06,7.08,1
34.0,1.0,16.0,1.0,6260.0,0.0,43.0,1.0,1.0,303.0,6.0,6.21,0
41.0,6.0,22.0,1.0,4700.0,0.0,40.0,1.0,6.0,210.0,9.07,8.95,1
62.0,1.0,1.0,1.0,4700.0,6.0,40.0,1.0,6.0,206.0,2.0,5.03,0
41.0,1.0,20.0,5.0,3930.0,11.0,40.0,1.0,9.0,6.0,4.81,5.11,0
56.0,1.0,15.0,1.0,7000.0,1.0,40.0,1.0,1.0,6.0,7.16,4.67,1
26.0,1.0,17.0,5.0,9130.0,12.0,40.0,1.0,1.0,4.0,8.74,4.73,1
57.0,3.0,21.0,1.0,420.0,0.0,40.0,2.0,1.0,303.0,7.31,6.82,1
47.0,1.0,24.0,3.0,4800.0,0.0,63.0,2.0,1.0,215.0,8.92,8.87,1
40.0,1.0,21.0,1.0,1021.0,0.0,40.0,1.0,1.0,39.0,5.58,4.78,0
62.0,6.0,18.0,1.0,4510.0,1.0,30.0,2.0,1.0,6.0,6.01,5.64,1
21.0,1.0,16.0,5.0,4020.0,2.0,30.0,1.0,1.0,6.0,5.86,3.68,0
41.0,2.0,20.0,1.0,4600.0,1.0,40.0,2.0,1.0,6.0,7.88,4.6,0
40.0,1.0,15.0,1.0,9645.0,0.0,40.0,2.0,8.0,303.0,6.71,6.82,1
42.0,1.0,18.0,1.0,410.0,1.0,40.0,2.0,1.0,36.0,5.45,7.19,0
47.0,1.0,16.0,4.0,5360.0,0.0,40.0,2.0,2.0,6.0,3.96,5.49,1
67.0,3.0,22.0,1.0,230.0,0.0,50.0,2.0,1.0,18.0,6.34,7.04,1
40.0,2.0,18.0,5.0,9620.0,16.0,15.0,2.0,9.0,6.0,5.13,3.88,0
31.0,1.0,18.0,1.0,600.0,1.0,20.0,2.0,6.0,207.0,6.65,6.37,1
49.0,1.0,21.0,1.0,10.0,0.0,50.0,2.0,1.0,19.0,6.56,5.71,1
64.0,7.0,19.0,1.0,310.0,1.0,40.0,2.0,9.0,303.0,5.68,9.29,1
36.0,1.0,15.0,1.0,4700.0,1.0,40.0,1.0,6.0,242.0,4.91,3.75,0
59.0,2.0,18.0,3.0,5120.0,0.0,40.0,2.0,1.0,6.0,5.46,5.03,0
46.0,7.0,19.0,1.0,2850.0,1.0,45.0,1.0,1.0,6.0,4.25,6.6,0
53.0,1.0,22.0,1.0,20.0,6.0,56.0,1.0,1.0,362.0,6.58,7.15,1
29.0,2.0,21.0,5.0,2435.0,2.0,15.0,2.0,1.0,6.0,7.47,5.92,1
27.0,1.0,19.0,3.0,4540.0,13.0,40.0,2.0,1.0,163.0,7.55,6.48,1
25.0,2.0,20.0,5.0,2350.0,2.0,25.0,2.0,1.0,6.0,6.87,5.8,1
46.0,7.0,22.0,5.0,440.0,0.0,40.0,2.0,1.0,6.0,7.22,6.1,1
25.0,2.0,22.0,5.0,630.0,0.0,40.0,2.0,1.0,6.0,6.02,5.62,1
60.0,1.0,21.0,5.0,120.0,0.0,40.0,2.0,1.0,6.0,7.42,8.01,1
24.0,1.0,20.0,5.0,7010.0,0.0,25.0,1.0,8.0,6.0,7.17,9.11,1
32.0,1.0,16.0,5.0,8740.0,2.0,40.0,1.0,1.0,6.0,4.86,4.1,0
43.0,7.0,21.0,1.0,710.0,1.0,70.0,1.0,1.0,36.0,6.94,6.2,0
43.0,2.0,20.0,3.0,5000.0,0.0,40.0,2.0,1.0,6.0,6.64,7.29,0
52.0,1.0,16.0,1.0,4600.0,1.0,20.0,2.0,1.0,303.0,6.33,5.96,1
51.0,1.0,19.0,3.0,9130.0,13.0,40.0,1.0,1.0,6.0,3.98,3.64,0
56.0,2.0,20.0,3.0,3255.0,0.0,40.0,2.0,1.0,6.0,5.77,7.3,1
24.0,1.0,19.0,1.0,310.0,1.0,30.0,2.0,1.0,246.0,6.29,5.27,1
26.0,1.0,19.0,5.0,4010.0,17.0,40.0,1.0,1.0,6.0,8.12,7.7,1
22.0,1.0,21.0,5.0,2920.0,2.0,16.0,2.0,6.0,6.0,6.61,6.33,0
19.0,1.0,16.0,5.0,8990.0,2.0,40.0,2.0,1.0,6.0,5.13,5.5,0
24.0,1.0,16.0,5.0,9620.0,12.0,30.0,2.0,1.0,6.0,5.43,5.44,0
59.0,3.0,22.0,1.0,2320.0,0.0,40.0,2.0,1.0,6.0,7.12,5.3,0
36.0,1.0,19.0,1.0,4920.0,0.0,10.0,2.0,1.0,41.0,6.65,5.17,1
30.0,1.0,18.0,5.0,310.0,0.0,40.0,1.0,1.0,6.0,6.72,6.2,1
36.0,1.0,21.0,5.0,630.0,12.0,40.0,1.0,1.0,51.0,6.18,5.11,1
20.0,1.0,19.0,5.0,4720.0,17.0,20.0,1.0,1.0,6.0,6.62,6.73,1
17.0,1.0,14.0,5.0,3960.0,2.0,5.0,1.0,1.0,6.0,6.78,4.88,0
58.0,1.0,19.0,1.0,9645.0,1.0,40.0,2.0,1.0,301.0,6.3,5.69,1
65.0,1.0,18.0,1.0,5000.0,1.0,40.0,2.0,1.0,6.0,7.06,5.69,1
28.0,2.0,21.0,5.0,3645.0,0.0,40.0,2.0,1.0,6.0,7.79,5.49,1
57.0,1.0,22.0,1.0,4800.0,1.0,50.0,2.0,6.0,6.0,7.62,6.22,1
42.0,1.0,17.0,3.0,410.0,0.0,40.0,2.0,8.0,6.0,4.65,6.21,0
63.0,3.0,21.0,3.0,1450.0,0.0,40.0,1.0,6.0,233.0,4.8,6.04,0
48.0,1.0,16.0,3.0,9130.0,0.0,40.0,1.0,1.0,6.0,5.17,3.94,0
42.0,1.0,21.0,1.0,2600.0,1.0,40.0,2.0,1.0,6.0,8.05,7.95,1
25.0,6.0,16.0,5.0,6230.0,2.0,40.0,1.0,1.0,6.0,5.77,3.28,1
59.0,1.0,18.0,3.0,4110.0,0.0,15.0,2.0,1.0,6.0,5.49,6.89,1
57.0,7.0,21.0,1.0,4820.0,0.0,40.0,1.0,1.0,39.0,5.7,4.59,0
49.0,3.0,19.0,5.0,2435.0,0.0,30.0,2.0,1.0,6.0,5.02,5.76,1
66.0,4.0,24.0,3.0,2205.0,0.0,40.0,2.0,1.0,18.0,8.53,7.04,1
52.0,1.0,22.0,1.0,10.0,1.0,20.0,2.0,1.0,6.0,9.04,7.13,1
60.0,3.0,21.0,1.0,110.0,0.0,40.0,2.0,1.0,6.0,7.29,6.73,1
43.0,1.0,16.0,5.0,7800.0,0.0,40.0,2.0,8.0,303.0,6.85,6.42,0
47.0,1.0,23.0,1.0,3090.0,1.0,45.0,1.0,1.0,110.0,8.26,6.12,1
49.0,1.0,22.0,1.0,20.0,0.0,52.0,1.0,1.0,10.0,4.52,5.09,0
69.0,6.0,23.0,1.0,3090.0,0.0,30.0,1.0,1.0,46.0,7.46,6.14,1
50.0,1.0,21.0,5.0,9121.0,13.0,40.0,2.0,1.0,6.0,7.18,6.66,1
39.0,1.0,21.0,1.0,2640.0,1.0,40.0,2.0,6.0,240.0,5.35,5.49,0
39.0,1.0,22.0,5.0,4020.0,2.0,45.0,1.0,2.0,6.0,6.59,6.14,0
55.0,1.0,16.0,3.0,3603.0,0.0,40.0,2.0,1.0,44.0,5.35,4.33,0
63.0,1.0,16.0,3.0,3300.0,0.0,40.0,2.0,9.0,303.0,4.48,5.21,0
42.0,2.0,23.0,5.0,3090.0,0.0,35.0,1.0,1.0,41.0,8.18,5.61,1
58.0,1.0,21.0,1.0,3255.0,0.0,24.0,2.0,1.0,6.0,7.97,7.83,1
60.0,3.0,21.0,1.0,2545.0,1.0,30.0,1.0,1.0,139.0,6.31,6.2,1
57.0,1.0,16.0,1.0,4220.0,0.0,40.0,1.0,1.0,6.0,3.57,6.0,0
51.0,1.0,1.0,1.0,8990.0,0.0,40.0,1.0,6.0,206.0,3.26,3.66,0
32.0,1.0,19.0,1.0,4110.0,0.0,40.0,2.0,1.0,6.0,6.99,5.89,1
28.0,1.0,19.0,5.0,9645.0,13.0,40.0,1.0,8.0,6.0,5.88,5.5,0
48.0,1.0,18.0,1.0,2545.0,0.0,40.0,1.0,1.0,303.0,7.21,6.91,1
47.0,6.0,22.0,1.0,2850.0,0.0,3.0,2.0,1.0,6.0,6.12,7.03,0
64.0,7.0,16.0,1.0,440.0,0.0,55.0,1.0,1.0,6.0,8.93,6.74,1
73.0,7.0,18.0,1.0,440.0,0.0,50.0,1.0,1.0,138.0,7.35,7.13,1
59.0,6.0,22.0,1.0,3010.0,0.0,30.0,1.0,6.0,233.0,5.9,6.56,1
35.0,3.0,22.0,5.0,2310.0,0.0,40.0,1.0,1.0,34.0,7.19,6.13,0
44.0,1.0,16.0,3.0,6260.0,0.0,40.0,1.0,1.0,6.0,5.93,5.22,1
20.0,1.0,16.0,5.0,6260.0,2.0,40.0,1.0,1.0,6.0,5.27,4.46,0
45.0,6.0,20.0,1.0,9610.0,1.0,40.0,1.0,1.0,8.0,8.34,7.42,1
28.0,1.0,18.0,5.0,8140.0,13.0,40.0,1.0,1.0,6.0,4.41,3.33,0
57.0,1.0,21.0,3.0,800.0,0.0,50.0,2.0,1.0,2.0,5.44,6.61,1
53.0,1.0,16.0,2.0,5860.0,2.0,40.0,2.0,1.0,6.0,7.69,7.03,0
54.0,1.0,21.0,1.0,800.0,0.0,20.0,2.0,6.0,233.0,6.84,6.3,0
65.0,6.0,14.0,3.0,4230.0,0.0,40.0,2.0,1.0,6.0,6.65,4.16,0
30.0,1.0,15.0,1.0,7750.0,1.0,40.0,1.0,1.0,6.0,6.75,8.64,0
20.0,5.0,16.0,5.0,9825.0,17.0,60.0,1.0,1.0,56.0,6.36,6.47,1
26.0,1.0,21.0,5.0,1970.0,13.0,40.0,1.0,1.0,34.0,7.62,5.47,1
50.0,3.0,19.0,3.0,5220.0,0.0,40.0,2.0,6.0,233.0,5.25,6.45,0
27.0,6.0,21.0,1.0,4655.0,1.0,40.0,2.0,1.0,6.0,5.19,5.99,0
22.0,1.0,21.0,5.0,2350.0,2.0,20.0,1.0,6.0,233.0,7.03,6.72,1
22.0,5.0,16.0,5.0,5740.0,17.0,50.0,2.0,9.0,332.0,4.45,7.22,0
25.0,6.0,16.0,1.0,9610.0,1.0,40.0,1.0,8.0,303.0,3.77,6.63,0
22.0,1.0,19.0,5.0,3930.0,2.0,40.0,1.0,8.0,6.0,8.8,7.04,1
37.0,1.0,15.0,1.0,7750.0,1.0,40.0,1.0,6.0,247.0,5.54,4.94,1
55.0,1.0,21.0,1.0,4000.0,0.0,40.0,1.0,6.0,207.0,6.73,8.82,1
27.0,1.0,16.0,5.0,1050.0,0.0,40.0,2.0,1.0,6.0,6.16,4.52,0
34.0,1.0,19.0,1.0,4340.0,1.0,35.0,2.0,1.0,6.0,7.17,6.01,1
29.0,1.0,19.0,1.0,6530.0,1.0,70.0,1.0,1.0,6.0,9.44,6.75,1
44.0,1.0,21.0,1.0,1530.0,1.0,40.0,2.0,6.0,210.0,7.24,5.48,0
27.0,1.0,16.0,5.0,7800.0,12.0,60.0,1.0,1.0,4.0,7.41,7.8,1
52.0,2.0,22.0,1.0,1108.0,0.0,40.0,1.0,6.0,207.0,5.5,5.69,0
61.0,6.0,19.0,3.0,4760.0,0.0,5.0,2.0,1.0,6.0,5.91,5.56,1
34.0,1.0,23.0,1.0,3250.0,1.0,48.0,2.0,6.0,6.0,6.27,7.82,0
45.0,7.0,22.0,1.0,4920.0,0.0,20.0,1.0,1.0,25.0,7.27,5.81,0
52.0,1.0,22.0,1.0,850.0,1.0,40.0,1.0,1.0,6.0,6.53,7.1,1
53.0,2.0,19.0,4.0,2545.0,9.0,32.0,2.0,2.0,138.0,3.79,5.56,0
44.0,7.0,20.0,1.0,4900.0,1.0,20.0,2.0,6.0,217.0,6.3,8.44,1
17.0,1.0,6.0,5.0,4140.0,10.0,40.0,1.0,1.0,303.0,3.86,5.07,0
29.0,1.0,23.0,5.0,2100.0,0.0,45.0,2.0,1.0,301.0,5.96,5.35,0
29.0,1.0,22.0,5.0,440.0,15.0,48.0,2.0,1.0,17.0,6.39,5.7,0
21.0,1.0,21.0,5.0,1760.0,2.0,40.0,1.0,1.0,6.0,5.63,6.63,1
18.0,1.0,16.0,5.0,4150.0,2.0,28.0,2.0,9.0,303.0,3.18,6.4,0
50.0,1.0,19.0,1.0,4600.0,1.0,50.0,2.0,8.0,312.0,4.68,5.54,0
20.0,1.0,19.0,5.0,4760.0,2.0,15.0,2.0,1.0,6.0,2.99,6.98,1
32.0,1.0,16.0,1.0,4720.0,1.0,32.0,2.0,1.0,6.0,6.0,5.9,1
32.0,1.0,16.0,1.0,7750.0,0.0,40.0,1.0,6.0,27.0,5.25,5.05,0
34.0,3.0,13.0,5.0,3603.0,0.0,50.0,2.0,8.0,6.0,4.6,5.02,0
71.0,4.0,21.0,2.0,4920.0,0.0,40.0,2.0,1.0,36.0,6.54,6.11,0
47.0,1.0,23.0,1.0,1400.0,0.0,60.0,1.0,1.0,6.0,8.93,7.32,1
22.0,1.0,18.0,5.0,8990.0,2.0,10.0,2.0,8.0,303.0,3.58,4.91,1
55.0,1.0,16.0,3.0,8740.0,0.0,40.0,1.0,1.0,212.0,5.63,4.99,0
34.0,3.0,21.0,1.0,4622.0,1.0,90.0,1.0,1.0,6.0,7.03,6.1,1
53.0,3.0,18.0,1.0,2555.0,0.0,40.0,2.0,1.0,6.0,6.95,8.44,1
55.0,6.0,9.0,1.0,7200.0,9.0,40.0,1.0,1.0,303.0,5.5,2.78,1
23.0,1.0,21.0,5.0,735.0,10.0,30.0,1.0,6.0,6.0,3.91,4.91,0
55.0,3.0,21.0,1.0,2320.0,1.0,40.0,1.0,1.0,6.0,5.25,6.7,0
60.0,7.0,9.0,5.0,6260.0,0.0,30.0,1.0,8.0,303.0,5.83,4.56,0
23.0,1.0,21.0,5.0,5120.0,2.0,40.0,1.0,1.0,6.0,8.15,6.75,0
51.0,1.0,19.0,1.0,530.0,0.0,50.0,1.0,1.0,6.0,6.91,6.84,1
49.0,1.0,20.0,1.0,440.0,1.0,40.0,1.0,1.0,6.0,5.96,5.28,0
45.0,7.0,21.0,1.0,630.0,0.0,10.0,2.0,6.0,6.0,6.44,6.18,0
65.0,4.0,22.0,1.0,2205.0,0.0,40.0,2.0,1.0,212.0,5.79,4.9,0
32.0,5.0,22.0,1.0,9030.0,0.0,40.0,1.0,1.0,47.0,5.38,5.96,0
30.0,1.0,18.0,5.0,8950.0,17.0,40.0,1.0,1.0,6.0,5.27,6.04,1
67.0,6.0,21.0,1.0,5120.0,0.0,25.0,2.0,1.0,13.0,5.21,6.35,0
27.0,1.0,16.0,5.0,3930.0,0.0,40.0,1.0,1.0,6.0,4.02,4.92,0
46.0,2.0,1.0,5.0,9600.0,13.0,40.0,1.0,6.0,233.0,1.59,3.35,0
31.0,1.0,18.0,3.0,4700.0,12.0,40.0,2.0,1.0,6.0,5.75,5.9,0
67.0,6.0,19.0,1.0,4920.0,0.0,30.0,1.0,1.0,17.0,6.42,6.56,1
50.0,6.0,22.0,1.0,845.0,1.0,30.0,1.0,1.0,36.0,8.1,6.59,1
29.0,1.0,19.0,5.0,2320.0,2.0,10.0,1.0,1.0,6.0,6.92,5.27,1
38.0,3.0,20.0,1.0,120.0,0.0,40.0,2.0,1.0,48.0,5.54,7.4,1
46.0,3.0,22.0,1.0,2310.0,1.0,40.0,2.0,6.0,247.0,7.27,8.26,1
45.0,3.0,20.0,1.0,3230.0,1.0,16.0,2.0,1.0,303.0,5.67,4.44,0
33.0,1.0,18.0,1.0,4220.0,1.0,40.0,1.0,1.0,6.0,6.14,2.48,0
32.0,6.0,18.0,5.0,4220.0,0.0,40.0,1.0,1.0,303.0,5.26,6.5,0
34.0,1.0,16.0,5.0,6330.0,0.0,40.0,1.0,1.0,6.0,4.95,3.2,1
31.0,3.0,16.0,5.0,2545.0,2.0,20.0,1.0,8.0,303.0,4.63,4.49,0
38.0,1.0,16.0,5.0,8990.0,13.0,40.0,1.0,1.0,6.0,5.68,7.16,1
57.0,6.0,21.0,1.0,6260.0,1.0,20.0,1.0,1.0,51.0,7.22,6.22,1
22.0,2.0,19.0,5.0,3602.0,0.0,10.0,2.0,1.0,6.0,5.59,4.97,0
39.0,1.0,24.0,1.0,110.0,1.0,50.0,1.0,1.0,41.0,7.16,7.26,0
50.0,3.0,19.0,3.0,3602.0,0.0,65.0,2.0,1.0,6.0,8.48,5.97,1
32.0,1.0,21.0,3.0,1032.0,11.0,20.0,2.0,1.0,6.0,9.31,8.12,1
46.0,1.0,15.0,1.0,6442.0,9.0,40.0,1.0,1.0,303.0,5.25,5.42,1
38.0,1.0,16.0,1.0,160.0,1.0,40.0,1.0,1.0,303.0,5.67,4.14,0
25.0,3.0,23.0,5.0,2205.0,12.0,45.0,2.0,1.0,26.0,7.39,6.12,1
37.0,3.0,23.0,1.0,2100.0,0.0,45.0,2.0,2.0,6.0,7.22,7.84,1
25.0,1.0,21.0,5.0,5820.0,10.0,80.0,1.0,6.0,233.0,5.27,5.75,0
58.0,1.0,16.0,5.0,6230.0,15.0,40.0,1.0,1.0,303.0,6.7,6.11,0
31.0,1.0,21.0,1.0,5600.0,1.0,41.0,1.0,1.0,6.0,7.21,6.05,1
30.0,1.0,22.0,5.0,3245.0,15.0,40.0,2.0,1.0,6.0,8.43,5.78,1
65.0,1.0,23.0,1.0,3255.0,1.0,30.0,1.0,6.0,6.0,6.09,6.44,0
59.0,5.0,19.0,1.0,5540.0,0.0,40.0,1.0,6.0,205.0,8.15,6.68,1
35.0,1.0,18.0,1.0,4710.0,0.0,50.0,1.0,1.0,6.0,6.48,5.65,0
56.0,7.0,19.0,1.0,4920.0,0.0,60.0,1.0,1.0,139.0,6.68,4.3,0
50.0,1.0,21.0,1.0,2012.0,0.0,40.0,2.0,1.0,6.0,6.74,6.57,1
31.0,1.0,21.0,5.0,440.0,0.0,40.0,1.0,1.0,109.0,6.55,5.74,0
26.0,1.0,18.0,5.0,2640.0,2.0,60.0,1.0,1.0,6.0,6.52,6.51,1
28.0,1.0,21.0,5.0,1021.0,0.0,45.0,2.0,6.0,48.0,4.22,7.65,0
61.0,1.0,21.0,2.0,2205.0,0.0,26.0,2.0,1.0,6.0,4.84,8.26,0
26.0,1.0,19.0,5.0,600.0,2.0,40.0,1.0,1.0,6.0,5.33,5.89,0
48.0,1.0,16.0,1.0,6260.0,1.0,40.0,1.0,8.0,6.0,6.09,6.14,0
19.0,4.0,18.0,5.0,5400.0,17.0,14.0,1.0,6.0,6.0,6.29,5.99,0
23.0,1.0,16.0,5.0,9620.0,2.0,40.0,1.0,1.0,6.0,7.06,5.13,0
42.0,1.0,1.0,1.0,9130.0,1.0,40.0,1.0,1.0,303.0,2.49,2.62,0
62.0,1.0,22.0,1.0,440.0,1.0,50.0,2.0,1.0,29.0,7.18,6.58,1
36.0,1.0,21.0,1.0,2825.0,1.0,40.0,1.0,1.0,25.0,5.85,5.6,0
53.0,1.0,18.0,1.0,4251.0,0.0,40.0,1.0,1.0,414.0,7.37,6.78,0
30.0,7.0,19.0,5.0,1021.0,13.0,65.0,1.0,1.0,26.0,7.63,4.71,0
48.0,2.0,22.0,1.0,5240.0,1.0,27.0,1.0,1.0,6.0,6.08,6.43,1
47.0,6.0,21.0,1.0,4710.0,1.0,35.0,2.0,1.0,6.0,5.62,6.68,0
50.0,1.0,24.0,1.0,3050.0,0.0,40.0,1.0,6.0,247.0,6.41,6.36,1
19.0,4.0,16.0,5.0,3602.0,2.0,60.0,2.0,2.0,6.0,3.32,5.83,0
18.0,3.0,14.0,5.0,4600.0,4.0,15.0,2.0,1.0,48.0,3.59,5.76,0
25.0,1.0,21.0,5.0,3255.0,12.0,40.0,2.0,6.0,207.0,7.95,7.84,1
42.0,6.0,20.0,1.0,2770.0,1.0,38.0,1.0,1.0,25.0,7.93,6.16,0
34.0,1.0,22.0,1.0,4900.0,1.0,40.0,2.0,1.0,109.0,6.66,5.91,1
60.0,1.0,20.0,1.0,9645.0,1.0,45.0,1.0,1.0,6.0,6.24,5.01,1
